P_val 	T_val 	x_val 	y_val 	y_calc	absolute_deviation 	relative_deviation 
0.2676E+01	0.2931E+03	0.4433E+02	0.1420E-01	0.1426E-01	-.5686E-04	-.4004E-02
0.1296E+01	0.2931E+03	0.4433E+02	0.7820E-02	0.7732E-02	0.8752E-04	0.1119E-01
0.3210E+00	0.2931E+03	0.4433E+02	0.2010E-02	0.2074E-02	-.6427E-04	-.3197E-01
0.4660E+01	0.2881E+03	0.4433E+02	0.2241E-01	0.2209E-01	0.3245E-03	0.1448E-01
0.2641E+01	0.2881E+03	0.4433E+02	0.1582E-01	0.1590E-01	-.7502E-04	-.4742E-02
0.1273E+01	0.2881E+03	0.4433E+02	0.8810E-02	0.8744E-02	0.6596E-04	0.7486E-02
0.3150E+00	0.2881E+03	0.4433E+02	0.2280E-02	0.2314E-02	-.3441E-04	-.1509E-01
0.2596E+01	0.2831E+03	0.4433E+02	0.1786E-01	0.1784E-01	0.1743E-04	0.9757E-03
0.1245E+01	0.2831E+03	0.4433E+02	0.9970E-02	0.9949E-02	0.2081E-04	0.2087E-02
0.3090E+00	0.2831E+03	0.4433E+02	0.2620E-02	0.2653E-02	-.3335E-04	-.1273E-01
0.2549E+01	0.2781E+03	0.4433E+02	0.2007E-01	0.2012E-01	-.5292E-04	-.2637E-02
0.1210E+01	0.2781E+03	0.4433E+02	0.1136E-01	0.1131E-01	0.5340E-04	0.4701E-02
0.3010E+00	0.2781E+03	0.4433E+02	0.3020E-02	0.3067E-02	-.4746E-04	-.1572E-01
0.2536E+01	0.2731E+03	0.4433E+02	0.2287E-01	0.2293E-01	-.5540E-04	-.2422E-02
0.1170E+01	0.2731E+03	0.4433E+02	0.1292E-01	0.1280E-01	0.1230E-03	0.9521E-02
0.2920E+00	0.2731E+03	0.4433E+02	0.3500E-02	0.3555E-02	-.5494E-04	-.1570E-01
0.3751E+01	0.2981E+03	0.4872E+02	0.1635E-01	0.1646E-01	-.1097E-03	-.6708E-02
0.2729E+01	0.2981E+03	0.4872E+02	0.1282E-01	0.1287E-01	-.5237E-04	-.4085E-02
0.1324E+01	0.2981E+03	0.4872E+02	0.7040E-02	0.6897E-02	0.1426E-03	0.2026E-01
0.4130E+00	0.2981E+03	0.4872E+02	0.2290E-02	0.2378E-02	-.8763E-04	-.3827E-01
0.3718E+01	0.2931E+03	0.4872E+02	0.1754E-01	0.1777E-01	-.2320E-03	-.1323E-01
0.2701E+01	0.2931E+03	0.4872E+02	0.1409E-01	0.1415E-01	-.6304E-04	-.4474E-02
0.1304E+01	0.2931E+03	0.4872E+02	0.7760E-02	0.7670E-02	0.9001E-04	0.1160E-01
0.3920E+00	0.2931E+03	0.4872E+02	0.2410E-02	0.2494E-02	-.8365E-04	-.3471E-01
0.3679E+01	0.2881E+03	0.4872E+02	0.1941E-01	0.1946E-01	-.4672E-04	-.2407E-02
0.2665E+01	0.2881E+03	0.4872E+02	0.1569E-01	0.1577E-01	-.7917E-04	-.5046E-02
0.1280E+01	0.2881E+03	0.4872E+02	0.8740E-02	0.8661E-02	0.7939E-04	0.9083E-02
0.3740E+00	0.2881E+03	0.4872E+02	0.2660E-02	0.2716E-02	-.5627E-04	-.2116E-01
0.2623E+01	0.2831E+03	0.4872E+02	0.1775E-01	0.1772E-01	0.3153E-04	0.1776E-02
0.1253E+01	0.2831E+03	0.4872E+02	0.9890E-02	0.9858E-02	0.3249E-04	0.3285E-02
0.3550E+00	0.2831E+03	0.4872E+02	0.2950E-02	0.3011E-02	-.6094E-04	-.2066E-01
0.2574E+01	0.2781E+03	0.4872E+02	0.1994E-01	0.1998E-01	-.4283E-04	-.2148E-02
0.1221E+01	0.2781E+03	0.4872E+02	0.1128E-01	0.1123E-01	0.5450E-04	0.4831E-02
0.3360E+00	0.2781E+03	0.4872E+02	0.3330E-02	0.3373E-02	-.4252E-04	-.1277E-01
0.2508E+01	0.2731E+03	0.4872E+02	0.2244E-01	0.2249E-01	-.4794E-04	-.2137E-02
0.1182E+01	0.2731E+03	0.4872E+02	0.1284E-01	0.1272E-01	0.1236E-03	0.9624E-02
0.3160E+00	0.2731E+03	0.4872E+02	0.3680E-02	0.3778E-02	-.9815E-04	-.2667E-01
0.4610E+01	0.2981E+03	0.4991E+02	0.1906E-01	0.1890E-01	0.1569E-03	0.8231E-02
0.2805E+01	0.2981E+03	0.4991E+02	0.1305E-01	0.1311E-01	-.6082E-04	-.4660E-02
0.1254E+01	0.2981E+03	0.4991E+02	0.6690E-02	0.6546E-02	0.1441E-03	0.2154E-01
0.3500E+00	0.2981E+03	0.4991E+02	0.1930E-02	0.2043E-02	-.1125E-03	-.5831E-01
